source,target,type,evidence,source_type,score,id
PR,lymphoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Case report: anaplastic lymphoma kinase (. The presence of anaplastic lymphoma kinase (...,cooccurrence,0.7,e101
atezolizumab,cisplatin,drug_drug_cooccurrence,Co-occurrence in text: Immune checkpoint inhibitors modulate the cytotoxic effect of chemotherapy in lung adenocarcinoma cells.. Immunotherapy using immune checkpoint inhibitors (ICIs) has significantly improved survival in...,cooccurrence,0.5,e102
atezolizumab,paclitaxel,drug_drug_cooccurrence,Co-occurrence in text: Immune checkpoint inhibitors modulate the cytotoxic effect of chemotherapy in lung adenocarcinoma cells.. Immunotherapy using immune checkpoint inhibitors (ICIs) has significantly improved survival in...,cooccurrence,0.5,e103
cisplatin,docetaxel,drug_drug_cooccurrence,Co-occurrence in text: Immune checkpoint inhibitors modulate the cytotoxic effect of chemotherapy in lung adenocarcinoma cells.. Immunotherapy using immune checkpoint inhibitors (ICIs) has significantly improved survival in...,cooccurrence,0.5,e104
cisplatin,pembrolizumab,drug_drug_cooccurrence,Co-occurrence in text: Immune checkpoint inhibitors modulate the cytotoxic effect of chemotherapy in lung adenocarcinoma cells.. Immunotherapy using immune checkpoint inhibitors (ICIs) has significantly improved survival in...,cooccurrence,0.5,e105
docetaxel,paclitaxel,drug_drug_cooccurrence,Co-occurrence in text: Immune checkpoint inhibitors modulate the cytotoxic effect of chemotherapy in lung adenocarcinoma cells.. Immunotherapy using immune checkpoint inhibitors (ICIs) has significantly improved survival in...,cooccurrence,0.5,e106
paclitaxel,pembrolizumab,drug_drug_cooccurrence,Co-occurrence in text: Immune checkpoint inhibitors modulate the cytotoxic effect of chemotherapy in lung adenocarcinoma cells.. Immunotherapy using immune checkpoint inhibitors (ICIs) has significantly improved survival in...,cooccurrence,0.5,e107
carboplatin,pembrolizumab,drug_drug_cooccurrence,Co-occurrence in text: Pembrolizumab plus pemetrexed-carboplatin combination in first-line treatment of advanced non-squamous non-small cell lung cancer: a multicenter real-life study (CAP29).. Pembrolizumab combined with c...,cooccurrence,0.5,e108
AR,renal cell carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Differential treatment responses to immune checkpoint inhibitor (ICI) therapy in a case of multiple primary malignancies: the programmed death ligand-1 (PD-L1) negative ureteral and lung metastasis fr...,cooccurrence,0.7,e109
ER,renal cell carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Differential treatment responses to immune checkpoint inhibitor (ICI) therapy in a case of multiple primary malignancies: the programmed death ligand-1 (PD-L1) negative ureteral and lung metastasis fr...,cooccurrence,0.7,e110
MET,renal cell carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Differential treatment responses to immune checkpoint inhibitor (ICI) therapy in a case of multiple primary malignancies: the programmed death ligand-1 (PD-L1) negative ureteral and lung metastasis fr...,cooccurrence,0.7,e111
PD-L1,renal cell carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Differential treatment responses to immune checkpoint inhibitor (ICI) therapy in a case of multiple primary malignancies: the programmed death ligand-1 (PD-L1) negative ureteral and lung metastasis fr...,cooccurrence,0.7,e112
PR,renal cell carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Differential treatment responses to immune checkpoint inhibitor (ICI) therapy in a case of multiple primary malignancies: the programmed death ligand-1 (PD-L1) negative ureteral and lung metastasis fr...,cooccurrence,0.7,e113
RET,renal cell carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Differential treatment responses to immune checkpoint inhibitor (ICI) therapy in a case of multiple primary malignancies: the programmed death ligand-1 (PD-L1) negative ureteral and lung metastasis fr...,cooccurrence,0.7,e114
docetaxel,ALK,drug_gene_cooccurrence,Co-occurrence in text: Study protocol of KeyPemls-004: A phase 2 study of pembrolizumab in combination with plinabulin and docetaxel in previously treated patients with metastatic non-small cell lung cancer and progressive ...,cooccurrence,0.6,e115
docetaxel,EGFR,drug_gene_cooccurrence,Co-occurrence in text: Study protocol of KeyPemls-004: A phase 2 study of pembrolizumab in combination with plinabulin and docetaxel in previously treated patients with metastatic non-small cell lung cancer and progressive ...,cooccurrence,0.6,e116
ALK,lymphoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Study protocol of KeyPemls-004: A phase 2 study of pembrolizumab in combination with plinabulin and docetaxel in previously treated patients with metastatic non-small cell lung cancer and progressive ...,cooccurrence,0.7,e117
AR,lymphoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Study protocol of KeyPemls-004: A phase 2 study of pembrolizumab in combination with plinabulin and docetaxel in previously treated patients with metastatic non-small cell lung cancer and progressive ...,cooccurrence,0.7,e118
EGFR,lymphoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Study protocol of KeyPemls-004: A phase 2 study of pembrolizumab in combination with plinabulin and docetaxel in previously treated patients with metastatic non-small cell lung cancer and progressive ...,cooccurrence,0.7,e119
ER,lymphoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Study protocol of KeyPemls-004: A phase 2 study of pembrolizumab in combination with plinabulin and docetaxel in previously treated patients with metastatic non-small cell lung cancer and progressive ...,cooccurrence,0.7,e120
MET,lymphoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Study protocol of KeyPemls-004: A phase 2 study of pembrolizumab in combination with plinabulin and docetaxel in previously treated patients with metastatic non-small cell lung cancer and progressive ...,cooccurrence,0.7,e121
PD-L1,lymphoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Study protocol of KeyPemls-004: A phase 2 study of pembrolizumab in combination with plinabulin and docetaxel in previously treated patients with metastatic non-small cell lung cancer and progressive ...,cooccurrence,0.7,e122
pembrolizumab,KRAS,drug_gene_cooccurrence,Co-occurrence in text: Associations of tissue tumor mutational burden and mutational status with clinical outcomes in KEYNOTE-042: pembrolizumab versus chemotherapy for advanced PD-L1-positive NSCLC.. We evaluated whether t...,cooccurrence,0.6,e123
KRAS,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Associations of tissue tumor mutational burden and mutational status with clinical outcomes in KEYNOTE-042: pembrolizumab versus chemotherapy for advanced PD-L1-positive NSCLC.. We evaluated whether t...,cooccurrence,0.7,e124
atezolizumab,ALK,drug_gene_cooccurrence,Co-occurrence in text: Cost-effectiveness of atezolizumab versus pembrolizumab as first-line treatment in PD-L1-positive advanced non-small-cell lung cancer in Spain.. Atezolizumab has recently been approved for first-line ...,cooccurrence,0.6,e125
atezolizumab,EGFR,drug_gene_cooccurrence,Co-occurrence in text: Cost-effectiveness of atezolizumab versus pembrolizumab as first-line treatment in PD-L1-positive advanced non-small-cell lung cancer in Spain.. Atezolizumab has recently been approved for first-line ...,cooccurrence,0.6,e126
HER2,breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Combination of chemotherapeutic agents and biological response modifiers (immunotherapy) in triple-negative/Her2( +) breast cancer, multiple myeloma, and non-small-cell lung cancer.. Biological respon...",cooccurrence,0.7,e127
AR,gastric cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Initial Therapeutic Approach with Pembrolizumab in Synchronous Multiple Cancers, Including Non-Small Cell Lung Cancer, Highly Positive for Programmed Death-Ligand 1 Expression.. Treatment of synchrono...",cooccurrence,0.7,e128
ER,gastric cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Initial Therapeutic Approach with Pembrolizumab in Synchronous Multiple Cancers, Including Non-Small Cell Lung Cancer, Highly Positive for Programmed Death-Ligand 1 Expression.. Treatment of synchrono...",cooccurrence,0.7,e129
MET,gastric cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Initial Therapeutic Approach with Pembrolizumab in Synchronous Multiple Cancers, Including Non-Small Cell Lung Cancer, Highly Positive for Programmed Death-Ligand 1 Expression.. Treatment of synchrono...",cooccurrence,0.7,e130
PD-L1,gastric cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Initial Therapeutic Approach with Pembrolizumab in Synchronous Multiple Cancers, Including Non-Small Cell Lung Cancer, Highly Positive for Programmed Death-Ligand 1 Expression.. Treatment of synchrono...",cooccurrence,0.7,e131
PR,gastric cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Initial Therapeutic Approach with Pembrolizumab in Synchronous Multiple Cancers, Including Non-Small Cell Lung Cancer, Highly Positive for Programmed Death-Ligand 1 Expression.. Treatment of synchrono...",cooccurrence,0.7,e132
cisplatin,EGFR,drug_gene_cooccurrence,Co-occurrence in text: Adjuvant Immunotherapy in Patients with Early-Stage Non-small Cell Lung Cancer and Future Directions.. While cisplatin-based adjuvant chemotherapy has been the standard of care for the past two decade...,cooccurrence,0.6,e133
atezolizumab,MYC,drug_gene_cooccurrence,"Co-occurrence in text: Gastrointestinal toxicity of systemic oncology immunotherapy.. Systemic anti-cancer immunotherapy provides a substantial progress in options of current oncology treatment. Yet, this therapeutic approa...",cooccurrence,0.6,e134
ipilimumab,MYC,drug_gene_cooccurrence,"Co-occurrence in text: Gastrointestinal toxicity of systemic oncology immunotherapy.. Systemic anti-cancer immunotherapy provides a substantial progress in options of current oncology treatment. Yet, this therapeutic approa...",cooccurrence,0.6,e135
pembrolizumab,MYC,drug_gene_cooccurrence,"Co-occurrence in text: Gastrointestinal toxicity of systemic oncology immunotherapy.. Systemic anti-cancer immunotherapy provides a substantial progress in options of current oncology treatment. Yet, this therapeutic approa...",cooccurrence,0.6,e136
AR,colorectal cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Gastrointestinal toxicity of systemic oncology immunotherapy.. Systemic anti-cancer immunotherapy provides a substantial progress in options of current oncology treatment. Yet, this therapeutic approa...",cooccurrence,0.7,e137
ER,colorectal cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Gastrointestinal toxicity of systemic oncology immunotherapy.. Systemic anti-cancer immunotherapy provides a substantial progress in options of current oncology treatment. Yet, this therapeutic approa...",cooccurrence,0.7,e138
MET,colorectal cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Gastrointestinal toxicity of systemic oncology immunotherapy.. Systemic anti-cancer immunotherapy provides a substantial progress in options of current oncology treatment. Yet, this therapeutic approa...",cooccurrence,0.7,e139
PD-L1,colorectal cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Gastrointestinal toxicity of systemic oncology immunotherapy.. Systemic anti-cancer immunotherapy provides a substantial progress in options of current oncology treatment. Yet, this therapeutic approa...",cooccurrence,0.7,e140
PR,colorectal cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Gastrointestinal toxicity of systemic oncology immunotherapy.. Systemic anti-cancer immunotherapy provides a substantial progress in options of current oncology treatment. Yet, this therapeutic approa...",cooccurrence,0.7,e141
AR,leukemia,biomarker_cancer_cooccurrence,"Co-occurrence in text: Development of Acute Adult T-cell Leukemia Following PD-1 Blockade Therapy for Lung Cancer.. Immune checkpoint inhibitors (ICIs) are widely used for the treatment of various cancers. However, paradoxi...",cooccurrence,0.7,e142
ER,leukemia,biomarker_cancer_cooccurrence,"Co-occurrence in text: Development of Acute Adult T-cell Leukemia Following PD-1 Blockade Therapy for Lung Cancer.. Immune checkpoint inhibitors (ICIs) are widely used for the treatment of various cancers. However, paradoxi...",cooccurrence,0.7,e143
PD-L1,leukemia,biomarker_cancer_cooccurrence,"Co-occurrence in text: Development of Acute Adult T-cell Leukemia Following PD-1 Blockade Therapy for Lung Cancer.. Immune checkpoint inhibitors (ICIs) are widely used for the treatment of various cancers. However, paradoxi...",cooccurrence,0.7,e144
PR,leukemia,biomarker_cancer_cooccurrence,"Co-occurrence in text: Development of Acute Adult T-cell Leukemia Following PD-1 Blockade Therapy for Lung Cancer.. Immune checkpoint inhibitors (ICIs) are widely used for the treatment of various cancers. However, paradoxi...",cooccurrence,0.7,e145
pembrolizumab,ROS1,drug_gene_cooccurrence,Co-occurrence in text: Validation of E1L3N antibody for PD-L1 detection and prediction of pembrolizumab response in non-small-cell lung cancer.. The programmed death-ligand 1 (PD-L1) 22C3 assay is one of the approved compan...,cooccurrence,0.6,e146
ROS1,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Validation of E1L3N antibody for PD-L1 detection and prediction of pembrolizumab response in non-small-cell lung cancer.. The programmed death-ligand 1 (PD-L1) 22C3 assay is one of the approved compan...,cooccurrence,0.7,e147
ROS1,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Validation of E1L3N antibody for PD-L1 detection and prediction of pembrolizumab response in non-small-cell lung cancer.. The programmed death-ligand 1 (PD-L1) 22C3 assay is one of the approved compan...,cooccurrence,0.7,e148
nivolumab,APC,drug_gene_cooccurrence,Co-occurrence in text: Prognostic value of hematologic parameters in advanced non-small cell lung cancer patients receiving anti-PD-1 inhibitors.. The association between hematologic parameters and anti-programmed death-1 (...,cooccurrence,0.6,e149
pembrolizumab,APC,drug_gene_cooccurrence,Co-occurrence in text: Prognostic value of hematologic parameters in advanced non-small cell lung cancer patients receiving anti-PD-1 inhibitors.. The association between hematologic parameters and anti-programmed death-1 (...,cooccurrence,0.6,e150
KRAS,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Impact of KRAS G12C mutation in patients with advanced non-squamous non-small cell lung cancer treated with first-line pembrolizumab monotherapy.. Few data are available on the impact of KRAS mutation...,cooccurrence,0.7,e151
RET,melanoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Immune checkpoint inhibitors in patients aged 80 or older with advanced non-small cell lung cancer or melanoma: a real-life multicentre study.. Data regarding characteristics, safety and survival outc...",cooccurrence,0.7,e152
AR,endometrial cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Dostarlimab: A breakthrough in the field of oncology.. Of the 19 million cancer cases reported worldwide in 2020, colorectal cancer (CRC) has a 10% prevalence and 9.4% mortality. A critical lack of ca...",cooccurrence,0.7,e153
ER,endometrial cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Dostarlimab: A breakthrough in the field of oncology.. Of the 19 million cancer cases reported worldwide in 2020, colorectal cancer (CRC) has a 10% prevalence and 9.4% mortality. A critical lack of ca...",cooccurrence,0.7,e154
MET,endometrial cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Dostarlimab: A breakthrough in the field of oncology.. Of the 19 million cancer cases reported worldwide in 2020, colorectal cancer (CRC) has a 10% prevalence and 9.4% mortality. A critical lack of ca...",cooccurrence,0.7,e155
PD-L1,endometrial cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Dostarlimab: A breakthrough in the field of oncology.. Of the 19 million cancer cases reported worldwide in 2020, colorectal cancer (CRC) has a 10% prevalence and 9.4% mortality. A critical lack of ca...",cooccurrence,0.7,e156
PR,endometrial cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Dostarlimab: A breakthrough in the field of oncology.. Of the 19 million cancer cases reported worldwide in 2020, colorectal cancer (CRC) has a 10% prevalence and 9.4% mortality. A critical lack of ca...",cooccurrence,0.7,e157
pembrolizumab,BRCA1,drug_gene_cooccurrence,Co-occurrence in text: Does Molecular Profiling of . Background: Several studies suggest that patients with KRAS-mutant NSCLC fail to benefit from standard systemic therapies and do not respond to EGFR inhibitors. Most rece...,cooccurrence,0.6,e158
docetaxel,ipilimumab,drug_drug_cooccurrence,Co-occurrence in text: Therapy for Stage IV Non-Small-Cell Lung Cancer Without Driver Alterations: ASCO Living Guideline.. To provide evidence-based recommendations updating the 2020 ASCO and Ontario Health (Cancer Care Ont...,cooccurrence,0.5,e159
atezolizumab,osimertinib,drug_drug_cooccurrence,Co-occurrence in text: Targeted Therapy and Immunotherapy in Early-Stage Non-Small Cell Lung Cancer: Current Evidence and Ongoing Trials.. The scenario of neoadjuvant and adjuvant settings in non-small cell lung cancer (NSC...,cooccurrence,0.5,e160
nivolumab,osimertinib,drug_drug_cooccurrence,Co-occurrence in text: Targeted Therapy and Immunotherapy in Early-Stage Non-Small Cell Lung Cancer: Current Evidence and Ongoing Trials.. The scenario of neoadjuvant and adjuvant settings in non-small cell lung cancer (NSC...,cooccurrence,0.5,e161
osimertinib,ALK,drug_gene_cooccurrence,Co-occurrence in text: Targeted Therapy and Immunotherapy in Early-Stage Non-Small Cell Lung Cancer: Current Evidence and Ongoing Trials.. The scenario of neoadjuvant and adjuvant settings in non-small cell lung cancer (NSC...,cooccurrence,0.6,e162
osimertinib,EGFR,drug_gene_cooccurrence,Co-occurrence in text: Targeted Therapy and Immunotherapy in Early-Stage Non-Small Cell Lung Cancer: Current Evidence and Ongoing Trials.. The scenario of neoadjuvant and adjuvant settings in non-small cell lung cancer (NSC...,cooccurrence,0.6,e163
carboplatin,ALK,drug_gene_cooccurrence,Co-occurrence in text: Deletions on 9p21 are associated with worse outcomes after anti-PD-1/PD-L1 monotherapy but not chemoimmunotherapy.. NCCN guidelines for first-line treatment of advanced non-squamous non-small-cell lun...,cooccurrence,0.6,e164
carboplatin,CDKN2A,drug_gene_cooccurrence,Co-occurrence in text: Deletions on 9p21 are associated with worse outcomes after anti-PD-1/PD-L1 monotherapy but not chemoimmunotherapy.. NCCN guidelines for first-line treatment of advanced non-squamous non-small-cell lun...,cooccurrence,0.6,e165
carboplatin,EGFR,drug_gene_cooccurrence,Co-occurrence in text: Deletions on 9p21 are associated with worse outcomes after anti-PD-1/PD-L1 monotherapy but not chemoimmunotherapy.. NCCN guidelines for first-line treatment of advanced non-squamous non-small-cell lun...,cooccurrence,0.6,e166
cisplatin,ALK,drug_gene_cooccurrence,Co-occurrence in text: Deletions on 9p21 are associated with worse outcomes after anti-PD-1/PD-L1 monotherapy but not chemoimmunotherapy.. NCCN guidelines for first-line treatment of advanced non-squamous non-small-cell lun...,cooccurrence,0.6,e167
cisplatin,CDKN2A,drug_gene_cooccurrence,Co-occurrence in text: Deletions on 9p21 are associated with worse outcomes after anti-PD-1/PD-L1 monotherapy but not chemoimmunotherapy.. NCCN guidelines for first-line treatment of advanced non-squamous non-small-cell lun...,cooccurrence,0.6,e168
pembrolizumab,CDKN2A,drug_gene_cooccurrence,Co-occurrence in text: Deletions on 9p21 are associated with worse outcomes after anti-PD-1/PD-L1 monotherapy but not chemoimmunotherapy.. NCCN guidelines for first-line treatment of advanced non-squamous non-small-cell lun...,cooccurrence,0.6,e169
pembrolizumab,BRAF,drug_gene_cooccurrence,Co-occurrence in text: Very high PD-L1 expression as a prognostic indicator of overall survival among patients with advanced non-small cell lung cancer receiving anti-PD-(L)1 monotherapies in routine practice.. Programmed d...,cooccurrence,0.6,e170
BRAF,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Very high PD-L1 expression as a prognostic indicator of overall survival among patients with advanced non-small cell lung cancer receiving anti-PD-(L)1 monotherapies in routine practice.. Programmed d...,cooccurrence,0.7,e171
BRAF,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Very high PD-L1 expression as a prognostic indicator of overall survival among patients with advanced non-small cell lung cancer receiving anti-PD-(L)1 monotherapies in routine practice.. Programmed d...,cooccurrence,0.7,e172
AR,head and neck cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Prolonged Response of Metastatic Programmed Death-Ligand 1 (PD-L1) Negative Basaloid Squamous Cell Carcinoma of the Lung to Maintenance Immunotherapy.. Basaloid squamous cell carcinoma (BSCC) is a var...,cooccurrence,0.7,e173
ER,head and neck cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Prolonged Response of Metastatic Programmed Death-Ligand 1 (PD-L1) Negative Basaloid Squamous Cell Carcinoma of the Lung to Maintenance Immunotherapy.. Basaloid squamous cell carcinoma (BSCC) is a var...,cooccurrence,0.7,e174
MET,head and neck cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Prolonged Response of Metastatic Programmed Death-Ligand 1 (PD-L1) Negative Basaloid Squamous Cell Carcinoma of the Lung to Maintenance Immunotherapy.. Basaloid squamous cell carcinoma (BSCC) is a var...,cooccurrence,0.7,e175
PD-L1,head and neck cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Prolonged Response of Metastatic Programmed Death-Ligand 1 (PD-L1) Negative Basaloid Squamous Cell Carcinoma of the Lung to Maintenance Immunotherapy.. Basaloid squamous cell carcinoma (BSCC) is a var...,cooccurrence,0.7,e176
PR,head and neck cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Prolonged Response of Metastatic Programmed Death-Ligand 1 (PD-L1) Negative Basaloid Squamous Cell Carcinoma of the Lung to Maintenance Immunotherapy.. Basaloid squamous cell carcinoma (BSCC) is a var...,cooccurrence,0.7,e177
pembrolizumab,RB1,drug_gene_cooccurrence,"Co-occurrence in text: Clinicopathologic and Genomic Landscape of Non-Small Cell Lung Cancer Brain Metastases.. In patients with non-small cell lung cancer (NSCLC), 10%-40% will eventually develop brain metastases. We prese...",cooccurrence,0.6,e178
osimertinib,pembrolizumab,drug_drug_cooccurrence,Co-occurrence in text: Neoadjuvant and Adjuvant Systemic Therapy for Early-Stage Non-small-Cell Lung Cancer.. Approximately a third of patients with non-small-cell lung cancer (NSCLC) present with surgically resectable dise...,cooccurrence,0.5,e179
atezolizumab,carboplatin,drug_drug_cooccurrence,"Co-occurrence in text: [A Case of Non-Small Cell Lung Cancer Successfully Treated with Anti-PD-L1 Therapy after Exacerbation Caused by Anti-PD-1 Therapy].. A 52-year-old male was diagnosed with cT4N3M1b, cStage Ⅳ adenocarci...",cooccurrence,0.5,e180
carboplatin,docetaxel,drug_drug_cooccurrence,"Co-occurrence in text: [A Case of Non-Small Cell Lung Cancer Successfully Treated with Anti-PD-L1 Therapy after Exacerbation Caused by Anti-PD-1 Therapy].. A 52-year-old male was diagnosed with cT4N3M1b, cStage Ⅳ adenocarci...",cooccurrence,0.5,e181
pembrolizumab,JAK2,drug_gene_cooccurrence,"Co-occurrence in text: Gene expression profile of high PD-L1 non-small cell lung cancers refractory to pembrolizumab.. Despite high expression of PD-L1, around half of advanced non-small cell lung cancer (NSCLC) will not ex...",cooccurrence,0.6,e182
pembrolizumab,PTEN,drug_gene_cooccurrence,"Co-occurrence in text: Gene expression profile of high PD-L1 non-small cell lung cancers refractory to pembrolizumab.. Despite high expression of PD-L1, around half of advanced non-small cell lung cancer (NSCLC) will not ex...",cooccurrence,0.6,e183
PTEN,lung cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Gene expression profile of high PD-L1 non-small cell lung cancers refractory to pembrolizumab.. Despite high expression of PD-L1, around half of advanced non-small cell lung cancer (NSCLC) will not ex...",cooccurrence,0.7,e184
PTEN,non-small cell lung cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Gene expression profile of high PD-L1 non-small cell lung cancers refractory to pembrolizumab.. Despite high expression of PD-L1, around half of advanced non-small cell lung cancer (NSCLC) will not ex...",cooccurrence,0.7,e185
cetuximab,nivolumab,drug_drug_cooccurrence,Co-occurrence in text: Anti-tumor activity of cetuximab plus avelumab in non-small cell lung cancer patients involves innate immunity activation: findings from the CAVE-Lung trial.. We recently conducted Cetuximab-AVElumab-...,cooccurrence,0.5,e186
cetuximab,pembrolizumab,drug_drug_cooccurrence,Co-occurrence in text: Anti-tumor activity of cetuximab plus avelumab in non-small cell lung cancer patients involves innate immunity activation: findings from the CAVE-Lung trial.. We recently conducted Cetuximab-AVElumab-...,cooccurrence,0.5,e187
cetuximab,EGFR,drug_gene_cooccurrence,Co-occurrence in text: Anti-tumor activity of cetuximab plus avelumab in non-small cell lung cancer patients involves innate immunity activation: findings from the CAVE-Lung trial.. We recently conducted Cetuximab-AVElumab-...,cooccurrence,0.6,e188
cisplatin,HER2,drug_gene_cooccurrence,Co-occurrence in text: Case Report: Tumor Microenvironment Characteristics in a Patient With HER2 Mutant Lung Squamous Cell Carcinoma Harboring High PD-L1 Expression Who Presented Hyperprogressive Disease.. High PD-L1 expre...,cooccurrence,0.6,e189
docetaxel,HER2,drug_gene_cooccurrence,Co-occurrence in text: Case Report: Tumor Microenvironment Characteristics in a Patient With HER2 Mutant Lung Squamous Cell Carcinoma Harboring High PD-L1 Expression Who Presented Hyperprogressive Disease.. High PD-L1 expre...,cooccurrence,0.6,e190
RET,breast cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Integrin signaling gene alterations and outcomes of cancer patients receiving immune checkpoint inhibitors.. Immune evasion is a hallmark of cancer and is associated with resistance to PD-1/PD-L1 and ...,cooccurrence,0.7,e191
gefitinib,pembrolizumab,drug_drug_cooccurrence,Co-occurrence in text: Clinical Effectiveness of Immune Checkpoint Inhibitors in Non-Small-Cell Lung Cancer with a Poor Performance Status.. Immune checkpoint inhibitors (ICIs) are standard treatments for patients with lung...,cooccurrence,0.5,e192
FGFR,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Case Report: Anlotinib Reverses Nivolumab Resistance in Advanced Primary Pulmonary Lymphoepithelioma-Like Carcinoma With FGFR3 Gene Amplification.. Primary pulmonary lymphoepithelioma-like carcinoma (...,cooccurrence,0.7,e193
FGFR,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Case Report: Anlotinib Reverses Nivolumab Resistance in Advanced Primary Pulmonary Lymphoepithelioma-Like Carcinoma With FGFR3 Gene Amplification.. Primary pulmonary lymphoepithelioma-like carcinoma (...,cooccurrence,0.7,e194
nivolumab,ipilimumab,drug_synergy,"Pattern match ((?:combination|co[\s-]?administration)\s+of\s+(?P<drug1>\w+)\s+and\s+(?P<drug2>\w+)): combination of nivolumab and ipilimumab drugs, smokers had, on average, reduced HR and FE...",pattern,0.8,e195
nivolumab,ipilimumab,drug_combination_regimen,"combination of nivolumab and ipilimumab drugs, smokers had, on average, reduced HR and FE model meta-analysis values (0.257 and 0.141), res",pattern,0.9,e196
cisplatin,KRAS,drug_gene_cooccurrence,"Co-occurrence in text: Phase 1, pharmacogenomic, dose-expansion study of pegargiminase plus pemetrexed and cisplatin in patients with ASS1-deficient non-squamous non-small cell lung cancer.. We evaluated the arginine-deplet...",cooccurrence,0.6,e197
MSI,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Poor performance status patient with long-lasting major response to pembrolizumab in advanced non-small-cell lung cancer with coexisting POLE mutation and deficient mismatch repair pathway.. Immunothe...,cooccurrence,0.7,e198
AR,cervical cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Early presentation of pembrolizumab-associated pneumonitis.. Pembrolizumab is a selective anti-PD-L1 humanised monoclonal antibody approved by the Food and Drug Administration for treating multiple ca...,cooccurrence,0.7,e199
ER,cervical cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Early presentation of pembrolizumab-associated pneumonitis.. Pembrolizumab is a selective anti-PD-L1 humanised monoclonal antibody approved by the Food and Drug Administration for treating multiple ca...,cooccurrence,0.7,e200
PD-L1,cervical cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Early presentation of pembrolizumab-associated pneumonitis.. Pembrolizumab is a selective anti-PD-L1 humanised monoclonal antibody approved by the Food and Drug Administration for treating multiple ca...,cooccurrence,0.7,e201
PR,cervical cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Early presentation of pembrolizumab-associated pneumonitis.. Pembrolizumab is a selective anti-PD-L1 humanised monoclonal antibody approved by the Food and Drug Administration for treating multiple ca...,cooccurrence,0.7,e202
gefitinib,EGFR,drug_gene_cooccurrence,"Co-occurrence in text: Case Report: Re-Sensitization to Gefitinib in Lung Adenocarcinoma Harboring EGFR Mutation and High PD-L1 Expression After Immunotherapy Resistance, Which Finally Transform Into Small Cell Carcinoma.. ...",cooccurrence,0.6,e203
carboplatin,ROS1,drug_gene_cooccurrence,"Co-occurrence in text: Nivolumab with carboplatin, paclitaxel, and bevacizumab for first-line treatment of advanced nonsquamous non-small-cell lung cancer.. This international, randomized, double-blind phase III study (ONO-...",cooccurrence,0.6,e204
